,obs_next,blockID,obs,trialID,t,is_done,reward,tot_t,action,stage,randomplanet,rewardplanet,highstate,transition,p_reward_low,p_trans,p_reward_high,p_ambiguity
7,0.0,1,1.0,4.0,0,False,1.0,8,0,1,,[1. 1.],0,[1 1],0.5,[0.8 0.8],0.5,0.6
8,1.0,1,0.0,5.0,1,False,0.0,9,1,0,,[1. 1.],0,[1 1],0.5,[0.8 0.8],0.5,0.6
9,0.0,1,1.0,5.0,0,False,1.0,10,0,1,,[1. 0.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
10,1.0,1,0.0,6.0,1,False,0.0,11,1,0,,[1. 0.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
11,0.0,1,1.0,6.0,0,False,1.0,12,0,1,,[0. 0.],0,[2 1],0.5,[0.8 0.8],0.5,0.6
12,2.0,1,0.0,7.0,1,False,0.0,13,1,0,,[0. 0.],0,[2 1],0.5,[0.8 0.8],0.5,0.6
13,0.0,1,2.0,7.0,0,False,0.0,14,0,1,1.0,[0. 0.],0,[1 1],0.5,[0.8 0.8],0.5,0.6
14,2.0,1,0.0,8.0,1,False,0.0,15,1,0,1.0,[0. 0.],0,[1 1],0.5,[0.8 0.8],0.5,0.6
15,0.0,1,2.0,8.0,0,False,0.0,16,0,1,,[1. 0.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
16,2.0,1,0.0,9.0,1,False,0.0,17,2,0,,[1. 0.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
17,0.0,1,2.0,9.0,0,False,0.0,18,0,1,1.0,[0. 0.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
18,2.0,1,0.0,10.0,1,False,0.0,19,1,0,1.0,[0. 0.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
19,0.0,1,2.0,10.0,0,False,0.0,20,0,1,0.0,[1. 1.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
20,1.0,1,0.0,11.0,1,False,0.0,21,2,0,0.0,[1. 1.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
21,0.0,1,1.0,11.0,0,False,1.0,22,0,1,0.0,[0. 0.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
22,1.0,1,0.0,12.0,1,False,0.0,23,2,0,0.0,[0. 0.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
23,0.0,1,1.0,12.0,0,False,0.0,24,0,1,,[0. 1.],0,[2 1],0.5,[0.8 0.8],0.5,0.6
24,1.0,1,0.0,13.0,1,False,0.0,25,2,0,,[0. 1.],0,[2 1],0.5,[0.8 0.8],0.5,0.6
25,0.0,1,1.0,13.0,0,False,0.0,26,0,1,1.0,[1. 1.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
26,2.0,1,0.0,14.0,1,False,0.0,27,2,0,1.0,[1. 1.],0,[1 2],0.5,[0.8 0.8],0.5,0.6
27,0.0,1,2.0,14.0,0,False,1.0,28,0,1,0.0,[0. 1.],0,[2 2],0.5,[0.8 0.8],0.5,0.6
28,1.0,1,0.0,15.0,1,False,0.0,29,2,0,0.0,[0. 1.],0,[2 2],0.5,[0.8 0.8],0.5,0.6
29,0.0,1,1.0,15.0,0,False,1.0,30,0,1,1.0,[0. 1.],0,[1 1],0.5,[0.8 0.8],0.5,0.6
30,2.0,1,0.0,16.0,1,False,0.0,31,2,0,1.0,[0. 1.],0,[1 1],0.5,[0.8 0.8],0.5,0.6
