,blockID,obs_next,trialID,tot_t,reward,obs,action,stage,is_done,t,transition,highstate,randomplanet,rewardplanet,p_reward_high,p_reward_low,p_trans,p_ambiguity
43,1,0.0,22.0,44,0.0,2.0,0,1,False,0,[2 1],1,1.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
44,1,2.0,23.0,45,0.0,0.0,1,0,False,1,[2 1],1,1.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
45,1,0.0,23.0,46,1.0,2.0,0,1,False,0,[2 1],1,1.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
46,1,2.0,24.0,47,0.0,0.0,1,0,False,1,[2 1],1,1.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
47,1,0.0,24.0,48,1.0,2.0,0,1,False,0,[2 1],1,0.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
48,1,1.0,25.0,49,0.0,0.0,1,0,False,1,[2 1],1,0.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
49,1,0.0,25.0,50,1.0,1.0,0,1,False,0,[2 1],1,1.0,[1. 1.],0.6,0.4,[0.2 0.2],0.6
50,1,2.0,26.0,51,0.0,0.0,1,0,False,1,[2 1],1,1.0,[1. 1.],0.6,0.4,[0.2 0.2],0.6
51,1,0.0,26.0,52,1.0,2.0,0,1,False,0,[2 1],1,0.0,[0. 0.],0.6,0.4,[0.2 0.2],0.6
52,1,1.0,27.0,53,0.0,0.0,1,0,False,1,[2 1],1,0.0,[0. 0.],0.6,0.4,[0.2 0.2],0.6
53,1,0.0,27.0,54,0.0,1.0,0,1,False,0,[2 1],1,0.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
54,1,1.0,28.0,55,0.0,0.0,1,0,False,1,[2 1],1,0.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
55,1,0.0,28.0,56,1.0,1.0,0,1,False,0,[2 1],1,0.0,[1. 1.],0.6,0.4,[0.2 0.2],0.6
56,1,1.0,29.0,57,0.0,0.0,1,0,False,1,[2 1],1,0.0,[1. 1.],0.6,0.4,[0.2 0.2],0.6
57,1,0.0,29.0,58,1.0,1.0,0,1,False,0,[2 1],1,,[0. 0.],0.6,0.4,[0.2 0.2],0.6
58,1,2.0,30.0,59,0.0,0.0,1,0,False,1,[2 1],1,,[0. 0.],0.6,0.4,[0.2 0.2],0.6
59,1,0.0,30.0,60,0.0,2.0,0,1,True,0,[2 1],1,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
0,1,2.0,1.0,1,0.0,0.0,1,0,False,1,[2 1],0,,[0. 1.],0.6,0.4,[0.2 0.2],0.6
1,1,0.0,1.0,2,1.0,2.0,0,1,False,0,[2 2],0,0.0,[0. 0.],0.6,0.4,[0.2 0.2],0.6
2,1,1.0,2.0,3,0.0,0.0,1,0,False,1,[2 2],0,0.0,[0. 0.],0.6,0.4,[0.2 0.2],0.6
3,1,0.0,2.0,4,0.0,1.0,0,1,False,0,[2 2],0,1.0,[1. 1.],0.6,0.4,[0.2 0.2],0.6
4,1,2.0,3.0,5,0.0,0.0,1,0,False,1,[2 2],0,1.0,[1. 1.],0.6,0.4,[0.2 0.2],0.6
5,1,0.0,3.0,6,1.0,2.0,0,1,False,0,[2 1],0,,[1. 1.],0.6,0.4,[0.2 0.2],0.6
6,1,2.0,4.0,7,0.0,0.0,1,0,False,1,[2 1],0,,[1. 1.],0.6,0.4,[0.2 0.2],0.6
7,1,0.0,4.0,8,1.0,2.0,0,1,False,0,[2 2],0,1.0,[1. 0.],0.6,0.4,[0.2 0.2],0.6
8,1,2.0,5.0,9,0.0,0.0,1,0,False,1,[2 2],0,1.0,[1. 0.],0.6,0.4,[0.2 0.2],0.6
9,1,0.0,5.0,10,0.0,2.0,0,1,False,0,[1 2],0,0.0,[1. 1.],0.6,0.4,[0.2 0.2],0.6
10,1,1.0,6.0,11,0.0,0.0,1,0,False,1,[1 2],0,0.0,[1. 1.],0.6,0.4,[0.2 0.2],0.6
11,1,0.0,6.0,12,1.0,1.0,0,1,False,0,[1 2],0,1.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
12,1,2.0,7.0,13,0.0,0.0,1,0,False,1,[1 2],0,1.0,[0. 1.],0.6,0.4,[0.2 0.2],0.6
